/usr/local/lib/python3.10/dist-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 61 scans
R2RBatch loaded with 14039 instructions, using splits: train
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 56 scans
R2RBatch loaded with 1021 instructions, using splits: val_seen
Loading image features from img_features/ResNet-152-imagenet.tsv
Loading navigation graphs for 11 scans
R2RBatch loaded with 2349 instructions, using splits: val_unseen
Training with sample feedback
10m 25s (- 45m 55s) (3700 18%) train loss: 0.8468, val_seen loss: 0.8837, success_rate: 0.200, val_unseen loss: 0.9512, success_rate: 0.131
10m 42s (- 45m 38s) (3800 19%) train loss: 0.8429, val_seen loss: 0.8754, success_rate: 0.217, val_unseen loss: 0.9375, success_rate: 0.142
10m 59s (- 45m 22s) (3900 19%) train loss: 0.8444, val_seen loss: 0.8811, success_rate: 0.209, val_unseen loss: 0.9472, success_rate: 0.152
11m 16s (- 45m 7s) (4000 20%) train loss: 0.8415, val_seen loss: 0.8825, success_rate: 0.230, val_unseen loss: 0.9507, success_rate: 0.132
11m 33s (- 44m 50s) (4100 20%) train loss: 0.8394, val_seen loss: 0.8825, success_rate: 0.242, val_unseen loss: 0.9419, success_rate: 0.166
11m 50s (- 44m 33s) (4200 21%) train loss: 0.8366, val_seen loss: 0.8657, success_rate: 0.231, val_unseen loss: 0.9471, success_rate: 0.150
12m 7s (- 44m 17s) (4300 21%) train loss: 0.8329, val_seen loss: 0.8738, success_rate: 0.255, val_unseen loss: 0.9438, success_rate: 0.172
12m 24s (- 44m 0s) (4400 22%) train loss: 0.8372, val_seen loss: 0.8619, success_rate: 0.255, val_unseen loss: 0.9363, success_rate: 0.165
12m 41s (- 43m 41s) (4500 22%) train loss: 0.8322, val_seen loss: 0.8731, success_rate: 0.229, val_unseen loss: 0.9565, success_rate: 0.156
12m 57s (- 43m 22s) (4600 23%) train loss: 0.8300, val_seen loss: 0.8795, success_rate: 0.248, val_unseen loss: 0.9658, success_rate: 0.164
13m 14s (- 43m 5s) (4700 23%) train loss: 0.8365, val_seen loss: 0.8830, success_rate: 0.250, val_unseen loss: 0.9541, success_rate: 0.148
13m 30s (- 42m 46s) (4800 24%) train loss: 0.8270, val_seen loss: 0.8662, success_rate: 0.253, val_unseen loss: 0.9485, success_rate: 0.168
13m 46s (- 42m 27s) (4900 24%) train loss: 0.8280, val_seen loss: 0.8641, success_rate: 0.265, val_unseen loss: 0.9415, success_rate: 0.156
14m 3s (- 42m 11s) (5000 25%) train loss: 0.8280, val_seen loss: 0.8636, success_rate: 0.269, val_unseen loss: 0.9528, success_rate: 0.170
14m 21s (- 41m 55s) (5100 25%) train loss: 0.8207, val_seen loss: 0.8663, success_rate: 0.268, val_unseen loss: 0.9552, success_rate: 0.172
14m 37s (- 41m 38s) (5200 26%) train loss: 0.8203, val_seen loss: 0.8829, success_rate: 0.265, val_unseen loss: 0.9731, success_rate: 0.158
14m 54s (- 41m 21s) (5300 26%) train loss: 0.8212, val_seen loss: 0.8766, success_rate: 0.255, val_unseen loss: 0.9670, success_rate: 0.164
15m 10s (- 41m 1s) (5400 27%) train loss: 0.8162, val_seen loss: 0.8769, success_rate: 0.264, val_unseen loss: 0.9757, success_rate: 0.174
15m 26s (- 40m 41s) (5500 27%) train loss: 0.8195, val_seen loss: 0.8863, success_rate: 0.271, val_unseen loss: 0.9658, success_rate: 0.166
15m 42s (- 40m 24s) (5600 28%) train loss: 0.8157, val_seen loss: 0.8837, success_rate: 0.267, val_unseen loss: 0.9830, success_rate: 0.178
15m 58s (- 40m 4s) (5700 28%) train loss: 0.8158, val_seen loss: 0.8650, success_rate: 0.287, val_unseen loss: 0.9606, success_rate: 0.186
16m 14s (- 39m 46s) (5800 28%) train loss: 0.8099, val_seen loss: 0.8660, success_rate: 0.271, val_unseen loss: 0.9683, success_rate: 0.170
16m 30s (- 39m 26s) (5900 29%) train loss: 0.8147, val_seen loss: 0.8718, success_rate: 0.301, val_unseen loss: 0.9774, success_rate: 0.175
16m 45s (- 39m 6s) (6000 30%) train loss: 0.8070, val_seen loss: 0.8709, success_rate: 0.276, val_unseen loss: 0.9644, success_rate: 0.169
17m 1s (- 38m 46s) (6100 30%) train loss: 0.8082, val_seen loss: 0.8585, success_rate: 0.290, val_unseen loss: 0.9628, success_rate: 0.187
17m 16s (- 38m 26s) (6200 31%) train loss: 0.8109, val_seen loss: 0.8870, success_rate: 0.277, val_unseen loss: 0.9827, success_rate: 0.159
17m 32s (- 38m 8s) (6300 31%) train loss: 0.8076, val_seen loss: 0.8872, success_rate: 0.286, val_unseen loss: 0.9913, success_rate: 0.179
17m 47s (- 37m 49s) (6400 32%) train loss: 0.8040, val_seen loss: 0.8657, success_rate: 0.288, val_unseen loss: 0.9908, success_rate: 0.179
18m 3s (- 37m 31s) (6500 32%) train loss: 0.8061, val_seen loss: 0.8687, success_rate: 0.306, val_unseen loss: 0.9803, success_rate: 0.190
18m 20s (- 37m 14s) (6600 33%) train loss: 0.8005, val_seen loss: 0.8787, success_rate: 0.312, val_unseen loss: 1.0015, success_rate: 0.185
18m 36s (- 36m 56s) (6700 33%) train loss: 0.7993, val_seen loss: 0.8798, success_rate: 0.277, val_unseen loss: 1.0075, success_rate: 0.186
18m 52s (- 36m 38s) (6800 34%) train loss: 0.8007, val_seen loss: 0.8621, success_rate: 0.318, val_unseen loss: 0.9824, success_rate: 0.178
19m 8s (- 36m 21s) (6900 34%) train loss: 0.7964, val_seen loss: 0.9034, success_rate: 0.270, val_unseen loss: 1.0170, success_rate: 0.164
19m 25s (- 36m 3s) (7000 35%) train loss: 0.7939, val_seen loss: 0.8645, success_rate: 0.305, val_unseen loss: 0.9828, success_rate: 0.205
19m 41s (- 35m 46s) (7100 35%) train loss: 0.8001, val_seen loss: 0.8676, success_rate: 0.304, val_unseen loss: 0.9835, success_rate: 0.199
19m 57s (- 35m 28s) (7200 36%) train loss: 0.7946, val_seen loss: 0.8722, success_rate: 0.305, val_unseen loss: 0.9860, success_rate: 0.192
20m 13s (- 35m 10s) (7300 36%) train loss: 0.7937, val_seen loss: 0.8607, success_rate: 0.320, val_unseen loss: 0.9757, success_rate: 0.196
20m 28s (- 34m 52s) (7400 37%) train loss: 0.7929, val_seen loss: 0.8613, success_rate: 0.310, val_unseen loss: 0.9848, success_rate: 0.204
20m 44s (- 34m 33s) (7500 37%) train loss: 0.7908, val_seen loss: 0.8642, success_rate: 0.303, val_unseen loss: 0.9879, success_rate: 0.196
21m 0s (- 34m 16s) (7600 38%) train loss: 0.7880, val_seen loss: 0.8986, success_rate: 0.277, val_unseen loss: 1.0062, success_rate: 0.180
21m 16s (- 33m 58s) (7700 38%) train loss: 0.7868, val_seen loss: 0.8642, success_rate: 0.303, val_unseen loss: 0.9902, success_rate: 0.196
21m 32s (- 33m 41s) (7800 39%) train loss: 0.7886, val_seen loss: 0.8615, success_rate: 0.296, val_unseen loss: 0.9785, success_rate: 0.185
21m 48s (- 33m 23s) (7900 39%) train loss: 0.7845, val_seen loss: 0.8684, success_rate: 0.304, val_unseen loss: 0.9971, success_rate: 0.202
22m 3s (- 33m 5s) (8000 40%) train loss: 0.7813, val_seen loss: 0.8648, success_rate: 0.321, val_unseen loss: 1.0031, success_rate: 0.183
22m 20s (- 32m 49s) (8100 40%) train loss: 0.7811, val_seen loss: 0.8759, success_rate: 0.308, val_unseen loss: 1.0076, success_rate: 0.195
22m 35s (- 32m 31s) (8200 41%) train loss: 0.7822, val_seen loss: 0.8823, success_rate: 0.314, val_unseen loss: 0.9954, success_rate: 0.180
22m 51s (- 32m 13s) (8300 41%) train loss: 0.7819, val_seen loss: 0.8661, success_rate: 0.321, val_unseen loss: 0.9962, success_rate: 0.189
23m 7s (- 31m 55s) (8400 42%) train loss: 0.7741, val_seen loss: 0.8775, success_rate: 0.298, val_unseen loss: 1.0188, success_rate: 0.201
23m 23s (- 31m 38s) (8500 42%) train loss: 0.7805, val_seen loss: 0.8806, success_rate: 0.301, val_unseen loss: 1.0092, success_rate: 0.192
23m 39s (- 31m 21s) (8600 43%) train loss: 0.7759, val_seen loss: 0.8897, success_rate: 0.305, val_unseen loss: 1.0045, success_rate: 0.191
23m 54s (- 31m 3s) (8700 43%) train loss: 0.7751, val_seen loss: 0.8859, success_rate: 0.323, val_unseen loss: 1.0213, success_rate: 0.186
24m 11s (- 30m 46s) (8800 44%) train loss: 0.7715, val_seen loss: 0.8766, success_rate: 0.321, val_unseen loss: 1.0248, success_rate: 0.192
24m 26s (- 30m 29s) (8900 44%) train loss: 0.7695, val_seen loss: 0.8754, success_rate: 0.338, val_unseen loss: 1.0235, success_rate: 0.194
24m 42s (- 30m 11s) (9000 45%) train loss: 0.7722, val_seen loss: 0.8724, success_rate: 0.317, val_unseen loss: 1.0283, success_rate: 0.194
24m 57s (- 29m 54s) (9100 45%) train loss: 0.7712, val_seen loss: 0.8674, success_rate: 0.339, val_unseen loss: 1.0109, success_rate: 0.200
25m 13s (- 29m 36s) (9200 46%) train loss: 0.7700, val_seen loss: 0.8611, success_rate: 0.295, val_unseen loss: 1.0024, success_rate: 0.198
25m 29s (- 29m 19s) (9300 46%) train loss: 0.7655, val_seen loss: 0.8793, success_rate: 0.313, val_unseen loss: 1.0151, success_rate: 0.206
25m 44s (- 29m 2s) (9400 47%) train loss: 0.7631, val_seen loss: 0.8942, success_rate: 0.345, val_unseen loss: 1.0377, success_rate: 0.203
26m 0s (- 28m 44s) (9500 47%) train loss: 0.7609, val_seen loss: 0.8761, success_rate: 0.337, val_unseen loss: 1.0206, success_rate: 0.208
26m 16s (- 28m 28s) (9600 48%) train loss: 0.7647, val_seen loss: 0.8861, success_rate: 0.329, val_unseen loss: 1.0319, success_rate: 0.195
26m 31s (- 28m 10s) (9700 48%) train loss: 0.7610, val_seen loss: 0.8909, success_rate: 0.333, val_unseen loss: 1.0347, success_rate: 0.206
26m 47s (- 27m 53s) (9800 49%) train loss: 0.7615, val_seen loss: 0.8607, success_rate: 0.348, val_unseen loss: 1.0164, success_rate: 0.203
27m 4s (- 27m 37s) (9900 49%) train loss: 0.7593, val_seen loss: 0.8675, success_rate: 0.336, val_unseen loss: 1.0423, success_rate: 0.214
27m 20s (- 27m 20s) (10000 50%) train loss: 0.7619, val_seen loss: 0.8641, success_rate: 0.338, val_unseen loss: 1.0206, success_rate: 0.207
27m 35s (- 27m 2s) (10100 50%) train loss: 0.7538, val_seen loss: 0.8715, success_rate: 0.336, val_unseen loss: 1.0519, success_rate: 0.177
27m 51s (- 26m 45s) (10200 51%) train loss: 0.7562, val_seen loss: 0.8957, success_rate: 0.336, val_unseen loss: 1.0373, success_rate: 0.189
28m 6s (- 26m 28s) (10300 51%) train loss: 0.7540, val_seen loss: 0.8964, success_rate: 0.330, val_unseen loss: 1.0392, success_rate: 0.203
28m 22s (- 26m 11s) (10400 52%) train loss: 0.7534, val_seen loss: 0.8953, success_rate: 0.335, val_unseen loss: 1.0468, success_rate: 0.216
28m 38s (- 25m 54s) (10500 52%) train loss: 0.7542, val_seen loss: 0.8864, success_rate: 0.349, val_unseen loss: 1.0410, success_rate: 0.196
28m 54s (- 25m 38s) (10600 53%) train loss: 0.7494, val_seen loss: 0.8587, success_rate: 0.326, val_unseen loss: 1.0142, success_rate: 0.198
29m 11s (- 25m 22s) (10700 53%) train loss: 0.7463, val_seen loss: 0.8792, success_rate: 0.325, val_unseen loss: 1.0340, success_rate: 0.217
29m 26s (- 25m 5s) (10800 54%) train loss: 0.7506, val_seen loss: 0.9073, success_rate: 0.357, val_unseen loss: 1.0622, success_rate: 0.209
29m 43s (- 24m 48s) (10900 54%) train loss: 0.7477, val_seen loss: 0.8671, success_rate: 0.335, val_unseen loss: 1.0356, success_rate: 0.212
30m 0s (- 24m 33s) (11000 55%) train loss: 0.7424, val_seen loss: 0.9168, success_rate: 0.341, val_unseen loss: 1.0767, success_rate: 0.195
30m 15s (- 24m 15s) (11100 55%) train loss: 0.7410, val_seen loss: 0.9017, success_rate: 0.341, val_unseen loss: 1.0670, success_rate: 0.201
30m 32s (- 23m 59s) (11200 56%) train loss: 0.7417, val_seen loss: 0.8784, success_rate: 0.362, val_unseen loss: 1.0382, success_rate: 0.214
30m 48s (- 23m 42s) (11300 56%) train loss: 0.7440, val_seen loss: 0.8918, success_rate: 0.335, val_unseen loss: 1.0454, success_rate: 0.210
31m 3s (- 23m 26s) (11400 56%) train loss: 0.7394, val_seen loss: 0.8715, success_rate: 0.338, val_unseen loss: 1.0433, success_rate: 0.214
31m 19s (- 23m 9s) (11500 57%) train loss: 0.7427, val_seen loss: 0.8872, success_rate: 0.351, val_unseen loss: 1.0516, success_rate: 0.206
